Date,Value1,Value2
Sep-2015,6.3,5.0
Oct-2015,5.7,5.0
Nov-2015,6.2,5.0
Dec-2015,6.0,5.0
Jan-2016,6.3,5.0
Feb-2016,5.8,5.0
Mar-2016,5.6,5.0
Apr-2016,5.6,5.0
May-2016,5.8,5.0
Jun-2016,5.7,5.0
Jul-2016,5.9,5.0
Aug-2016,5.5,5.0
Sep-2016,5.8,5.0
Oct-2016,5.8,5.0
Nov-2016,6.1,5.0
Dec-2016,6.1,5.0
Jan-2017,5.8,5.0
Feb-2017,6.0,5.0
Mar-2017,6.2,5.0
Apr-2017,6.1,5.0
May-2017,6.0,5.0
Jun-2017,5.9,5.0
Jul-2017,6.1,5.0
Aug-2017,6.1,5.0
Sep-2017,6.0,5.0
Oct-2017,5.8,5.0
Nov-2017,5.5,5.0
Dec-2017,6.1,5.0
Jan-2018,5.6,5.0
Feb-2018,5.6,5.0
Mar-2018,5.2,5.0
Apr-2018,5.2,5.0
May-2018,5.0,5.0
Jun-2018,5.6,5.0
Jul-2018,5.0,5.0
Aug-2018,4.8,5.0
Sep-2018,4.6,5.0
Oct-2018,4.5,5.0
Nov-2018,4.6,5.0
Dec-2018,4.2,5.0
Jan-2019,4.6,5.0
Feb-2019,4.8,5.0
Mar-2019,4.6,5.0
Apr-2019,4.8,5.0
May-2019,4.5,5.0
Jun-2019,4.9,5.0
Jul-2019,4.9,5.0
Aug-2019,4.9,5.0
Sep-2019,4.7,5.0
Oct-2019,4.8,5.0
Nov-2019,4.6,5.0
Dec-2019,4.9,5.0
Jan-2020,5.3,5.0
Feb-2020,5.3,5.0
Mar-2020,5.1,5.0
Apr-2020,5.9,5.0
May-2020,6.7,5.0
Jun-2020,7.5,5.0
Jul-2020,7.0,5.0
Aug-2020,7.1,5.0
Sep-2020,6.7,5.0
Oct-2020,7.3,5.0
Nov-2020,7.1,5.0
Dec-2020,6.4,5.0
Jan-2021,6.3,5.0
Feb-2021,5.7,5.0
Mar-2021,6.0,5.0
Apr-2021,5.4,5.0
May-2021,4.7,5.0
Jun-2021,4.6,5.0
Jul-2021,4.6,5.0
Aug-2021,4.1,5.0
Sep-2021,4.7,5.0
Oct-2021,5.6,5.0
Nov-2021,4.7,5.0
Dec-2021,4.2,5.0
Jan-2022,4.1,5.0
Feb-2022,4.2,5.0
Mar-2022,4.1,5.0
Apr-2022,4.2,5.0
May-2022,3.8,5.0
Jun-2022,3.3,5.0
Jul-2022,3.3,5.0
Aug-2022,3.9,5.0
Sep-2022,3.5,5.0
Oct-2022,3.7,5.0
Nov-2022,3.7,5.0
Dec-2022,3.5,5.0
Jan-2023,4.0,5.0
Feb-2023,3.8,5.0
Mar-2023,3.7,5.0
Apr-2023,3.9,5.0
May-2023,3.7,5.0
Jun-2023,3.7,5.0
Jul-2023,3.7,5.0
Aug-2023,3.6,5.0
Sep-2023,3.5,5.0
Oct-2023,3.8,5.0
Nov-2023,4.0,5.0
Dec-2023,4.1,5.0
Jan-2024,3.9,5.0
Feb-2024,3.9,5.0
Mar-2024,4.1,5.0
Apr-2024,4.3,5.0
May-2024,4.4,5.0
Jun-2024,4.5,5.0
Jul-2024,4.6,5.0
Aug-2024,4.5,5.0
Sep-2024,4.3,5.0
Oct-2024,4.5,5.0
Nov-2024,4.2,5.0
Dec-2024,4.4,5.0
Jan-2025,4.7,5.0
Feb-2025,4.6,5.0
Mar-2025,4.3,5.0
Apr-2025,4.2,5.0
May-2025,4.4,5.0
Jun-2025,4.6,5.0
Jul-2025,4.6,5.0
Aug-2025,4.4,5.0
Sep-2025,4.7,5.0